state,state_group,state_lat,state_long
South Carolina,47,32.2976303100586,-81.1308212280274
South Carolina,47,32.3205490112305,-81.1250915527344
South Carolina,47,32.3434677124023,-81.1365585327149
South Carolina,47,32.3778457641602,-81.1594696044922
South Carolina,47,32.4236831665039,-81.1823959350586
South Carolina,47,32.4637908935547,-81.19384765625
South Carolina,47,32.4809799194336,-81.199577331543
South Carolina,47,32.5554618835449,-81.2912521362305
South Carolina,47,32.5726509094238,-81.3370895385742
South Carolina,47,32.5783805847168,-81.3600082397461
South Carolina,47,32.6070289611816,-81.3943862915039
South Carolina,47,32.6356735229492,-81.4115753173828
South Carolina,47,32.6528625488281,-81.4058456420898
South Carolina,47,32.67578125,-81.4058456420898
South Carolina,47,32.7044296264648,-81.4230346679688
South Carolina,47,32.7216186523438,-81.4230346679688
South Carolina,47,32.7388076782227,-81.4115753173828
South Carolina,47,32.7789154052734,-81.4173049926758
South Carolina,47,32.8419418334961,-81.4230346679688
South Carolina,47,32.853401184082,-81.4516830444336
South Carolina,47,32.8877792358398,-81.4574127197266
South Carolina,47,32.9164276123047,-81.4746017456055
South Carolina,47,32.9336166381836,-81.4975204467774
South Carolina,47,32.996639251709,-81.4860534667969
South Carolina,47,33.0195579528809,-81.5089797973633
South Carolina,47,33.0424728393555,-81.554817199707
South Carolina,47,33.0883102416992,-81.6292953491211
South Carolina,47,33.1054992675781,-81.6808700561523
South Carolina,47,33.12841796875,-81.7381591796875
South Carolina,47,33.1570663452148,-81.7610778808594
South Carolina,47,33.1742553710938,-81.7725372314453
South Carolina,47,33.2029037475586,-81.7610778808594
South Carolina,47,33.2200927734375,-81.7839965820313
South Carolina,47,33.2143630981445,-81.8126373291016
South Carolina,47,33.2315521240234,-81.8470230102539
South Carolina,47,33.2487411499023,-81.8527450561524
South Carolina,47,33.2716598510742,-81.8470230102539
South Carolina,47,33.317497253418,-81.8699417114258
South Carolina,47,33.3404159545898,-81.9329605102539
South Carolina,47,33.3633346557617,-81.9444198608399
South Carolina,47,33.3862533569336,-81.9386901855469
South Carolina,47,33.4034385681152,-81.9444198608399
South Carolina,47,33.4320907592773,-81.9329605102539
South Carolina,47,33.449275970459,-81.9272384643555
South Carolina,47,33.4607353210449,-81.9272384643555
South Carolina,47,33.4951095581055,-81.9845275878906
South Carolina,47,33.5180282592773,-82.0017242431641
South Carolina,47,33.5466804504395,-82.0418243408203
South Carolina,47,33.586784362793,-82.0933990478516
South Carolina,47,33.5925178527832,-82.1163101196289
South Carolina,47,33.5982437133789,-82.1564178466797
South Carolina,47,33.6154365539551,-82.1736068725586
South Carolina,47,33.6498107910156,-82.2022552490235
South Carolina,47,33.6899185180664,-82.2194366455078
South Carolina,47,33.7300262451172,-82.2480926513672
South Carolina,47,33.7529449462891,-82.2652740478516
South Carolina,47,33.7758636474609,-82.288200378418
South Carolina,47,33.7873191833496,-82.3053817749024
South Carolina,47,33.8331565856934,-82.3684158325195
South Carolina,47,33.8618049621582,-82.4142532348633
South Carolina,47,33.8789939880371,-82.4658126831055
South Carolina,47,33.8904533386231,-82.4887313842774
South Carolina,47,33.9133720397949,-82.5059280395508
South Carolina,47,33.9477462768555,-82.5517578125
South Carolina,47,33.9592094421387,-82.5632171630859
South Carolina,47,34.0222358703613,-82.5918655395508
South Carolina,47,34.0508804321289,-82.6033248901367
South Carolina,47,34.0623397827148,-82.6205139160156
South Carolina,47,34.0795288085938,-82.6377029418945
South Carolina,47,34.1196365356445,-82.6663513183594
South Carolina,47,34.1368255615234,-82.6892700195313
South Carolina,47,34.1654739379883,-82.7236480712891
South Carolina,47,34.1883926391602,-82.735107421875
South Carolina,47,34.211311340332,-82.740837097168
South Carolina,47,34.2571449279785,-82.7522964477539
South Carolina,47,34.3029823303223,-82.7866744995117
South Carolina,47,34.348819732666,-82.8210525512695
South Carolina,47,34.3717384338379,-82.8382339477539
South Carolina,47,34.4347648620606,-82.8554229736328
South Carolina,47,34.4634094238281,-82.8726196289063
South Carolina,47,34.4748725891113,-82.9012603759766
South Carolina,47,34.4806022644043,-82.9585647583008
South Carolina,47,34.486328125,-83.00439453125
South Carolina,47,34.4977912902832,-83.0616912841797
South Carolina,47,34.5264358520508,-83.1075286865234
South Carolina,47,34.5837326049805,-83.1590957641602
South Carolina,47,34.6009216308594,-83.182014465332
South Carolina,47,34.6123809814453,-83.2049331665039
South Carolina,47,34.6181106567383,-83.2450408935547
South Carolina,47,34.6181106567383,-83.2736892700195
South Carolina,47,34.663948059082,-83.3137969970703
South Carolina,47,34.6754035949707,-83.3481674194336
South Carolina,47,34.7040557861328,-83.365364074707
South Carolina,47,34.7269744873047,-83.365364074707
South Carolina,47,34.7441596984863,-83.3538970947266
South Carolina,47,34.7899971008301,-83.3252563476563
South Carolina,47,34.812915802002,-83.3080596923828
South Carolina,47,34.9160461425781,-83.182014465332
South Carolina,47,34.93896484375,-83.1419067382813
South Carolina,47,34.9618835449219,-83.1304473876953
South Carolina,47,34.9905319213867,-83.1075286865234
South Dakota,48,42.4733619689941,-96.4345245361328
South Dakota,48,42.4733619689941,-96.4402542114258
South Dakota,48,42.4733619689941,-96.4803619384766
South Dakota,48,42.4733619689941,-96.5090103149414
South Dakota,48,42.4848213195801,-96.5204696655274
South Dakota,48,42.496280670166,-96.5433883666992
South Dakota,48,42.5191993713379,-96.577766418457
South Dakota,48,42.507740020752,-96.6064147949219
South Dakota,48,42.5650367736816,-96.6350631713867
South Dakota,48,42.5707626342773,-96.6522521972656
South Dakota,48,42.5822219848633,-96.6866302490234
South Dakota,48,42.6108741760254,-96.7152709960938
South Dakota,48,42.639518737793,-96.7267379760742
South Dakota,48,42.6681671142578,-96.7381973266602
South Dakota,48,42.6796264648438,-96.7897567749024
South Dakota,48,42.6796264648438,-96.7954864501953
South Dakota,48,42.7025451660156,-96.8126754760742
South Dakota,48,42.7025451660156,-96.8413238525391
South Dakota,48,42.7025451660156,-96.8757019042969
South Dakota,48,42.7254638671875,-96.9215393066406
South Dakota,48,42.7197341918945,-96.9559173583984
South Dakota,48,42.7254638671875,-96.9788360595703
South Dakota,48,42.7483825683594,-96.9902954101563
South Dakota,48,42.7483825683594,-97.0132141113281
South Dakota,48,42.759838104248,-97.0647811889648
South Dakota,48,42.759838104248,-97.0991592407227
South Dakota,48,42.777027130127,-97.1392669677734
South Dakota,48,42.7884902954102,-97.1621780395508
South Dakota,48,42.7999458312988,-97.1908340454102
South Dakota,48,42.8056755065918,-97.2194747924805
South Dakota,48,42.817138671875,-97.2366714477539
South Dakota,48,42.8343276977539,-97.225212097168
South Dakota,48,42.8457832336426,-97.2366714477539
South Dakota,48,42.8515129089355,-97.299690246582
South Dakota,48,42.8629722595215,-97.3397979736328
South Dakota,48,42.8629722595215,-97.3627243041992
South Dakota,48,42.8515129089355,-97.4028244018555
South Dakota,48,42.8400535583496,-97.4372024536133
South Dakota,48,42.8400535583496,-97.4773101806641
South Dakota,48,42.8515129089355,-97.5231475830078
South Dakota,48,42.8400535583496,-97.5919036865234
South Dakota,48,42.8343276977539,-97.6320114135742
South Dakota,48,42.8343276977539,-97.6606521606445
South Dakota,48,42.8285942077637,-97.6893081665039
South Dakota,48,42.8515129089355,-97.7351455688477
South Dakota,48,42.8343276977539,-97.7695236206055
South Dakota,48,42.8400535583496,-97.8038940429688
South Dakota,48,42.8457832336426,-97.8440017700195
South Dakota,48,42.8343276977539,-97.8726501464844
South Dakota,48,42.7942199707031,-97.8955688476563
South Dakota,48,42.7713012695313,-97.9299468994141
South Dakota,48,42.7541122436524,-97.9700546264649
South Dakota,48,42.7713012695313,-98.02734375
South Dakota,48,42.777027130127,-98.0789108276367
South Dakota,48,42.8056755065918,-98.1362152099609
South Dakota,48,42.8400535583496,-98.1820526123047
South Dakota,48,42.8572463989258,-98.2336120605469
South Dakota,48,42.8858909606934,-98.2909088134766
South Dakota,48,42.8744316101074,-98.3138275146484
South Dakota,48,42.8916206359863,-98.3367462158203
South Dakota,48,42.9202690124512,-98.39404296875
South Dakota,48,42.9317283630371,-98.4169616699219
South Dakota,48,42.9431838989258,-98.4570693969727
South Dakota,48,42.954647064209,-98.4685287475586
South Dakota,48,42.9832916259766,-98.47998046875
South Dakota,48,42.9947547912598,-98.5029067993164
South Dakota,48,42.9947547912598,-98.5143661499023
South Dakota,48,42.9947547912598,-99.2649383544922
South Dakota,48,42.9947547912598,-99.5399627685547
South Dakota,48,42.9947547912598,-100.20458984375
South Dakota,48,42.9947547912598,-101.230186462402
South Dakota,48,42.9947547912598,-102.078163146973
South Dakota,48,42.9947547912598,-102.794357299805
South Dakota,48,42.9947547912598,-103.00634765625
South Dakota,48,42.9947547912598,-103.510551452637
South Dakota,48,43.0062103271484,-104.060592651367
South Dakota,48,43.4760398864746,-104.066329956055
South Dakota,48,43.4989547729492,-104.060592651367
South Dakota,48,43.8484573364258,-104.054862976074
South Dakota,48,44.134937286377,-104.060592651367
South Dakota,48,44.1807746887207,-104.054862976074
South Dakota,48,44.5818481445313,-104.054862976074
South Dakota,48,45.0058326721191,-104.054862976074
South Dakota,48,45.212100982666,-104.049133300781
South Dakota,48,45.8767318725586,-104.043403625488
South Dakota,48,45.9397583007813,-104.049133300781
South Dakota,48,45.9397583007813,-102.983436584473
South Dakota,48,45.9397583007813,-102.931869506836
South Dakota,48,45.9397583007813,-101.997947692871
South Dakota,48,45.9397583007813,-100.496795654297
South Dakota,48,45.9397583007813,-99.8665466308594
South Dakota,48,45.9397583007813,-99.7118453979492
South Dakota,48,45.9397583007813,-99.0013809204102
South Dakota,48,45.934024810791,-98.7206344604492
South Dakota,48,45.9397583007813,-97.9929733276367
South Dakota,48,45.934024810791,-97.9757843017578
